matrix,Version,Initialization,FeatureExtraction,Inference,Format
bcsstk31,baseline,0.00182883,0.0127095,3.246e-06,1
bcsstk31,tuned,0.00116497,0.0125299,5.71e-07,1
bcsstk32,baseline,0.00185965,0.0217175,3.576e-06,1
bcsstk32,tuned,0.00133714,0.0218984,1.292e-06,1
bcsstm03,baseline,0.0016001,2.7252e-05,1.613e-06,0
bcsstm03,tuned,0.00120039,1.589e-05,4.31e-07,0
bcsstm22,baseline,0.00155476,2.1632e-05,1.403e-06,0
bcsstm22,tuned,0.00112933,1.5109e-05,3.41e-07,0
bcsstm26,baseline,0.00159718,5.9534e-05,1.533e-06,0
bcsstm26,tuned,0.00116734,4.7882e-05,3.51e-07,0
bcsstm38,baseline,0.00151928,0.000222587,1.553e-06,1
bcsstm38,tuned,0.00109065,0.000180766,4.91e-07,0
bcsstm39,baseline,0.001573,0.000916996,1.854e-06,0
bcsstm39,tuned,0.00128305,0.000847073,3.8e-07,0
bfwa398,baseline,0.0016154,5.9794e-05,1.433e-06,1
bfwa398,tuned,0.00118292,5.4755e-05,4.71e-07,1
bfwa782,baseline,0.00153306,0.000102517,1.522e-06,1
bfwa782,tuned,0.00112459,9.381e-05,4.31e-07,1
bfwb782,baseline,0.00257601,9.6465e-05,2.124e-06,1
bfwb782,tuned,0.00197663,7.9403e-05,4.41e-07,1
biplane-9,baseline,0.00169965,0.00106699,2.094e-06,1
biplane-9,tuned,0.00121238,0.000995785,5.91e-07,1
blockqp1,baseline,0.0019178,0.00747265,2.735e-06,1
blockqp1,tuned,0.00125753,0.00723739,4.61e-07,1
bodyy6,baseline,0.00159267,0.00151696,2.264e-06,1
bodyy6,tuned,0.00113488,0.00146175,4.91e-07,1
bp_1000,baseline,0.0010014,4.5217e-05,8.51e-07,1
bp_1000,tuned,0.000801385,4.1769e-05,3e-07,1
bp_1400,baseline,0.00101903,4.5377e-05,8.52e-07,1
bp_1400,tuned,0.000670243,4.1129e-05,2.6e-07,1
bp_1600,baseline,0.00094014,4.4996e-05,8.52e-07,1
bp_1600,tuned,0.000683939,4.1369e-05,2.81e-07,1
bp_400,baseline,0.00100672,4.1039e-05,8.52e-07,1
bp_400,tuned,0.000824238,3.8073e-05,3.11e-07,1
breasttissue_10NN,baseline,0.0030198,3.1871e-05,1.693e-06,1
breasttissue_10NN,tuned,0.00249795,1.7664e-05,2.9e-07,1
bundle1,baseline,0.00123547,0.00517939,1.914e-06,1
bundle1,tuned,0.000779398,0.00511109,3.01e-07,1
bundle_adj,baseline,0.00131092,0.133929,5.871e-06,5
bundle_adj,tuned,0.000971117,0.133924,2.375e-06,1
bwm200,baseline,0.00135936,2.5319e-05,1.052e-06,1
bwm200,tuned,0.000792213,1.3766e-05,2.8e-07,1
c-23,baseline,0.000997357,0.000215234,9.73e-07,1
c-23,tuned,0.000713271,0.000211195,2.7e-07,1
c-33,baseline,0.000970425,0.000386954,1.002e-06,1
c-33,tuned,0.0007284,0.000377696,3.6e-07,1
c-35,baseline,0.000997297,0.00042715,1.032e-06,1
c-35,tuned,0.000698233,0.000416891,3.7e-07,1
c-36,baseline,0.00101539,0.000462088,1.062e-06,1
c-36,tuned,0.000702751,0.000441899,3.51e-07,1
c-57,baseline,0.00113793,0.0027687,1.854e-06,1
c-57,tuned,0.000748098,0.00268133,2.7e-07,1
c-66,baseline,0.00279605,0.00347793,1.763e-06,1
c-66,tuned,0.00225274,0.00329569,3e-07,1
c-72,baseline,0.00227544,0.00486449,2.104e-06,1
c-72,tuned,0.00110409,0.00469384,2.9e-07,1
c-73,baseline,0.00127969,0.00909208,2.315e-06,1
c-73,tuned,0.000804627,0.00867632,6.61e-07,1
cage12,baseline,0.00133773,0.0129871,3.516e-06,1
cage12,tuned,0.000964464,0.0128624,1.143e-06,1
cage5,baseline,0.00224851,2.2253e-05,1.584e-06,1
cage5,tuned,0.00238074,1.1512e-05,3.4e-07,1
CAG_mat72,baseline,0.00104139,2.7814e-05,1.302e-06,1
CAG_mat72,tuned,0.00167323,1.5229e-05,2.81e-07,1
can_144,baseline,0.00164246,2.0239e-05,9.02e-07,1
can_144,tuned,0.000723265,1.6361e-05,2.31e-07,1
can_161,baseline,0.00106997,1.9688e-05,8.82e-07,1
can_161,tuned,0.000719507,1.6242e-05,2.4e-07,1
can_292,baseline,0.000947988,2.9917e-05,8.42e-07,1
can_292,tuned,0.000706522,2.4077e-05,2.3e-07,1
can_634,baseline,0.00103343,5.7701e-05,8.52e-07,1
can_634,tuned,0.000750708,5.3573e-05,2.51e-07,1
can_73,baseline,0.00179814,1.3486e-05,9.01e-07,1
can_73,tuned,0.000804461,1.0109e-05,2.6e-07,1
can_838,baseline,0.00102632,7.4283e-05,8.42e-07,1
can_838,tuned,0.000746179,7.0527e-05,2.41e-07,1
case39,baseline,0.00139447,0.00715034,1.883e-06,1
case39,tuned,0.000770676,0.00699355,2.6e-07,1
case9,baseline,0.00106509,0.000987915,1.433e-06,1
