matrix,Version,Initialization,FeatureExtraction,Inference,Format
bcsstk29,tuned,0.0769874,0.00401459,1.3647e-05,1
bcsstk31,baseline,0.0778206,0.00769193,2.2403e-05,1
bcsstk31,tuned,0.0764378,0.00770659,2.076e-05,1
bcsstk32,baseline,0.0765536,0.0130642,5.3543e-05,1
bcsstk32,tuned,0.0750424,0.0131561,5.0837e-05,1
bcsstm03,baseline,0.0783486,1.9788e-05,7.524e-06,0
bcsstm03,tuned,0.0748523,9.348e-06,6.913e-06,0
bcsstm22,baseline,0.0749624,1.4007e-05,7.133e-06,0
bcsstm22,tuned,0.0740061,9.599e-06,6.893e-06,0
bcsstm26,baseline,0.0755611,3.7903e-05,6.793e-06,0
bcsstm26,tuned,0.0735063,3.4707e-05,6.532e-06,0
bcsstm38,baseline,0.0758047,0.000134969,8.587e-06,0
bcsstm38,tuned,0.0767562,0.000121522,8.547e-06,0
bcsstm39,baseline,0.0741695,0.000641125,6.633e-06,0
bcsstm39,tuned,0.0733381,0.00060639,6.954e-06,0
bfwa398,baseline,0.075044,3.8634e-05,1.067e-05,1
bfwa398,tuned,0.0747408,3.4406e-05,1.4077e-05,1
bfwa782,baseline,0.0744513,6.1978e-05,1.1933e-05,1
bfwa782,tuned,0.0745152,5.8231e-05,1.1733e-05,1
bfwb782,baseline,1.37172,6.0616e-05,1.1973e-05,1
bfwb782,tuned,0.0772242,4.743e-05,1.062e-05,1
biplane-9,baseline,0.0787665,0.000662228,1.2494e-05,1
biplane-9,tuned,0.0757727,0.000634325,1.1653e-05,1
blockqp1,baseline,0.0791438,0.00452513,1.7123e-05,1
blockqp1,tuned,0.0780771,0.00453383,2.0369e-05,1
bodyy6,baseline,0.0778469,0.000916415,1.2524e-05,1
bodyy6,tuned,0.0776471,0.000890205,1.2073e-05,1
bp_1000,baseline,0.0726216,5.0727e-05,1.0941e-05,1
bp_1000,tuned,0.0729693,4.161e-05,1.0069e-05,1
bp_1400,baseline,0.0734082,4.9745e-05,1.1081e-05,1
bp_1400,tuned,0.0733734,4.2411e-05,1.022e-05,1
bp_1600,baseline,0.0726067,4.8783e-05,1.068e-05,1
bp_1600,tuned,0.0717367,4.7751e-05,1.0591e-05,1
bp_400,baseline,0.0722434,4.3483e-05,9.267e-06,1
bp_400,tuned,0.0713055,4.1349e-05,8.255e-06,1
breasttissue_10NN,baseline,0.162799,2.9136e-05,1.4218e-05,1
breasttissue_10NN,tuned,0.07543,1.7404e-05,1.2694e-05,1
bundle1,baseline,0.0777386,0.00529932,1.6942e-05,1
bundle1,tuned,0.0744788,0.00530293,1.6532e-05,1
bundle_adj,baseline,0.0767526,0.135326,7.0086e-05,1
bundle_adj,tuned,0.0789549,0.134296,6.6639e-05,1
bwm200,baseline,0.0749798,2.3535e-05,1.063e-05,1
bwm200,tuned,0.0737163,1.3898e-05,1.014e-05,1
c-23,baseline,0.0768737,0.000271014,1.5169e-05,1
c-23,tuned,0.0760978,0.000223823,1.4618e-05,1
c-33,baseline,0.0766272,0.000422348,1.7174e-05,1
c-33,tuned,0.0748244,0.000394614,1.7494e-05,1
c-35,baseline,0.0763416,0.000440683,1.7454e-05,1
c-35,tuned,0.0753171,0.000435623,1.7404e-05,1
c-36,baseline,0.075962,0.000474127,1.7423e-05,1
