matrix,Version,Initialization,FeatureExtraction,Inference,Format
bcsstm36,tuned,0.00145586,0.000602697,2.3e-07,1
b_dyn,baseline,0.00154213,0.00146261,2.3e-07,5
b_dyn,tuned,0.00147878,0.000450793,2.2e-07,5
belgium_osm,baseline,0.0016438,0.00285211,3.51e-07,1
belgium_osm,tuned,0.00146288,0.0018093,2.81e-07,1
bips07_1998,baseline,0.00145804,0.00153164,2.81e-07,1
bips07_1998,tuned,0.00142212,0.000489385,2.2e-07,1
bips07_3078,baseline,0.00146782,0.0014476,3e-07,1
bips07_3078,tuned,0.00136861,0.000448889,2.71e-07,1
bips98_1142,baseline,0.00139275,0.0013669,3.21e-07,1
bips98_1142,tuned,0.00133981,0.000438352,2.71e-07,1
bloweya,baseline,0.00160247,0.00157826,3.3e-07,0
bloweya,tuned,0.00154088,0.000495339,3.31e-07,0
bodyy4,baseline,0.00139995,0.0015115,3.1e-07,1
bodyy4,tuned,0.00128539,0.000461736,2.91e-07,1
boeing_nasa1824,baseline,0.00156792,0.00145807,2.8e-07,1
boeing_nasa1824,tuned,0.00147592,0.000450114,2.5e-07,1
boeing_nasa4704,baseline,0.00138264,0.00148179,2.81e-07,1
boeing_nasa4704,tuned,0.00128072,0.000440817,2.8e-07,1
bone010,baseline,0.00143982,0.00463457,4.41e-07,3
bone010,tuned,0.00131199,0.00363112,3.91e-07,3
brainpc2,baseline,0.00158081,0.00150122,3e-07,0
brainpc2,tuned,0.00147565,0.000472316,3.6e-07,0
bundle_adj,baseline,0.00159041,0.00255424,4e-07,4
bundle_adj,tuned,0.00500065,0.00151746,3.2e-07,4
bwm2000,baseline,0.00140995,0.00142277,2.6e-07,1
bwm2000,tuned,0.00137871,0.000433844,2.61e-07,1
c-20,baseline,0.00131348,0.00150899,3.01e-07,1
c-20,tuned,0.00126787,0.000418104,2.71e-07,1
c-29,baseline,0.00144722,0.00145663,2.8e-07,1
c-29,tuned,0.00152875,0.000456035,2.5e-07,1
c-35,baseline,0.00332,0.00151995,3.11e-07,1
c-35,tuned,0.00127043,0.000439334,3.2e-07,1
c-36,baseline,0.00162978,0.00146065,3.01e-07,1
c-36,tuned,0.00150358,0.000457358,2.5e-07,1
c-38,baseline,0.00137395,0.00141441,2.7e-07,1
c-38,tuned,0.00148416,0.000475382,2.4e-07,1
c-42,baseline,0.00142254,0.00141341,3.21e-07,1
c-42,tuned,0.00137507,0.000478267,2.8e-07,1
c-46,baseline,0.00141487,0.00142463,3.2e-07,1
c-46,tuned,0.00129028,0.000463048,3.01e-07,1
c-54,baseline,0.00162825,0.00154459,3.31e-07,1
c-54,tuned,0.00151322,0.000493576,3.01e-07,1
c-59,baseline,0.00148914,0.00150059,2.6e-07,0
c-59,tuned,0.00147869,0.000520035,2.91e-07,0
c-63,baseline,0.00161284,0.00149737,3.21e-07,0
c-63,tuned,0.00148035,0.000509436,2.8e-07,0
c-64b,baseline,0.00164019,0.00159744,3.2e-07,0
c-64b,tuned,0.00151511,0.000526838,2.41e-07,0
c-65,baseline,0.00157838,0.00151492,3.31e-07,1
c-65,tuned,0.00150832,0.000507963,2e-07,4
c-70,baseline,0.214361,0.00183979,1.022e-06,0
c-70,tuned,0.00138419,0.000548028,2.81e-07,0
ca-CondMat,baseline,0.00156007,0.00142187,2.61e-07,5
ca-CondMat,tuned,0.00140166,0.000480782,2e-07,5
cage10,baseline,0.0014412,0.00147156,2.71e-07,1
cage10,tuned,0.00134648,0.000479008,2.71e-07,1
cage15,baseline,0.00193013,0.0106591,3.81e-07,3
cage15,tuned,0.00148686,0.00977914,3.41e-07,3
cage4,baseline,0.00147478,0.00145743,2.81e-07,1
cage4,tuned,0.00138268,0.000346991,2.7e-07,1
cage6,baseline,0.00160275,0.00143473,3.1e-07,1
cage6,tuned,0.0015858,0.000440667,2.8e-07,1
cage7,baseline,0.00152356,0.00144499,3.01e-07,1
cage7,tuned,0.00143631,0.000452358,2.81e-07,1
ca-HepPh,baseline,0.00158158,0.00146276,2.5e-07,5
ca-HepPh,tuned,0.00147858,0.000455572,2.1e-07,5
can_1054,baseline,0.00158349,0.0014692,3e-07,1
can_1054,tuned,0.00152411,0.000435444,2.6e-07,1
can_161,baseline,0.00162641,0.00144789,3.21e-07,1
can_161,tuned,0.00151674,0.000464578,2.51e-07,1
can_229,baseline,0.00154532,0.00144658,3e-07,1
can_229,tuned,0.00141941,0.000469738,2.41e-07,1
can_61,baseline,0.00149284,0.00151879,2.71e-07,1
can_61,tuned,0.00133919,0.000424613,2.51e-07,1
can_62,baseline,0.00158272,0.00142612,2.7e-07,1
can_62,tuned,0.00138577,0.000446715,2.5e-07,1
can_634,baseline,0.00159352,0.0014474,3.2e-07,1
can_634,tuned,0.00152855,0.000461503,2.91e-07,1
cavity02,baseline,0.0015664,0.00142213,2.8e-07,1
cavity02,tuned,0.00150979,0.000453708,2.61e-07,1
cavity04,baseline,0.00155732,0.00138209,2.9e-07,1
cavity04,tuned,0.00153869,0.000516525,2.51e-07,1
cavity12,baseline,0.00239376,0.00149476,2.91e-07,1
cavity12,tuned,0.00147427,0.000456153,2.5e-07,1
cavity15,baseline,0.00137563,0.00146338,2.6e-07,1
