matrix,Version,Initialization,FeatureExtraction,Inference,Format
bcsstm38,baseline,0.00274442,0.000254542,5.8e-07,0
bcsstm38,tuned,0.00150444,0.000214027,5.35e-07,0
bcsstm39,baseline,0.00276413,0.00111038,7.3e-07,1
bcsstm39,tuned,0.00184314,0.00103893,4.35e-07,0
bfwa398,baseline,0.00255588,6.9605e-05,7.05e-07,1
bfwa398,tuned,0.00171857,5.848e-05,4.75e-07,1
bfwa782,baseline,0.00267306,0.000129728,6.45e-07,1
bfwa782,tuned,0.00153263,0.000106868,5.75e-07,1
bfwb782,baseline,0.00278614,0.000101184,7e-07,1
bfwb782,tuned,0.0019257,8.8454e-05,5.25e-07,1
bips07_1693,baseline,0.00250023,0.000812195,9.8e-07,1
bips07_1693,tuned,0.00160505,0.000777791,5.3e-07,1
bloweya,baseline,0.00270436,0.0022315,1.35e-06,1
bloweya,tuned,0.00164816,0.00216428,8.1e-07,1
bmw3_2,baseline,0.00306579,0.160972,2.95e-06,1
bmw3_2,tuned,0.00213743,0.160251,2.555e-06,1
bodyy4,baseline,0.00207645,0.00161227,1.28e-06,1
bodyy4,tuned,0.0010709,0.00168902,5.55e-07,1
boeing_nasa1824,baseline,0.00263908,0.000512074,6.15e-07,1
boeing_nasa1824,tuned,0.00166929,0.000500024,4.8e-07,1
boyd1,baseline,0.00305837,0.0181375,1.415e-06,1
boyd1,tuned,0.00200356,0.0175675,6.7e-07,1
bp_1000,baseline,0.00265811,8.6639e-05,8.15e-07,1
bp_1000,tuned,0.0016894,7.8884e-05,5.75e-07,1
bp_1200,baseline,0.00251838,8.9429e-05,7.35e-07,1
bp_1200,tuned,0.00131929,7.9889e-05,5.4e-07,1
bp_1600,baseline,0.00248042,8.9459e-05,6.85e-07,1
bp_1600,tuned,0.00160989,8.1109e-05,5.05e-07,1
bp_600,baseline,0.00276139,8.2949e-05,8.35e-07,1
bp_600,tuned,0.00172524,7.3224e-05,5.95e-07,1
brainpc2,baseline,0.00255495,0.00260274,8.3e-07,1
brainpc2,tuned,0.00155523,0.00253086,6.5e-07,1
bratu3d,baseline,0.00255124,0.00237749,9.55e-07,1
bratu3d,tuned,0.00146463,0.00229706,5.55e-07,1
breasttissue_10NN,baseline,0.00248613,3.608e-05,7.5e-07,1
breasttissue_10NN,tuned,0.00148016,2.9019e-05,6.4e-07,1
bwm200,baseline,0.0025931,2.9404e-05,6.05e-07,0
bwm200,tuned,0.0017321,2.207e-05,4.55e-07,0
c-23,baseline,0.0024956,0.000444025,8.85e-07,1
c-23,tuned,0.0012174,0.000437145,5.04e-07,1
c-33,baseline,0.00211145,0.000819975,8.85e-07,1
c-33,tuned,0.00110033,0.000785395,4.35e-07,1
c-35,baseline,0.00379599,0.00105452,1.285e-06,1
c-35,tuned,0.00207259,0.000969235,7.65e-07,1
c-36,baseline,0.00268372,0.00105418,1.19e-06,1
c-36,tuned,0.0015941,0.00092113,5.65e-07,1
c-57,baseline,0.00302809,0.00588135,2.195e-06,1
c-57,tuned,0.0016744,0.00568831,1e-06,1
c-66,baseline,0.0025534,0.00739721,1.77e-06,1
c-66,tuned,0.00160767,0.00715161,9.8e-07,1
c-72,baseline,0.00308961,0.0106442,2.485e-06,1
c-72,tuned,0.00129845,0.0103139,1.34e-06,1
c-73,baseline,0.00308297,0.0204089,2.72e-06,1
c-73,tuned,0.00195824,0.0199313,1.36e-06,1
cage11,baseline,0.00281813,0.00755558,2.365e-06,1
cage11,tuned,0.00180539,0.0072851,1.655e-06,1
cage4,baseline,0.00254322,2.9065e-05,1.28e-06,1
cage4,tuned,0.00161888,1.1854e-05,5e-07,1
CAG_mat1916,baseline,0.00299553,0.00283066,1.38e-06,1
CAG_mat1916,tuned,0.00163921,0.00275554,9.2e-07,1
can_1072,baseline,0.00208605,0.000187123,1.21e-06,1
can_1072,tuned,0.0012579,0.000170799,6.35e-07,1
can_144,baseline,0.00217842,3.626e-05,7.05e-07,1
can_144,tuned,0.00103635,2.7494e-05,5.2e-07,1
can_268,baseline,0.00209914,6.3935e-05,7e-07,1
can_268,tuned,0.00106727,5.1199e-05,6.95e-07,1
can_62,baseline,0.00368905,2.8885e-05,7.9e-07,1
can_62,tuned,0.0017824,1.4005e-05,5.3e-07,1
can_715,baseline,0.00266261,0.000114249,7.85e-07,1
can_715,tuned,0.00163086,9.6569e-05,5.9e-07,1
can_73,baseline,0.00279275,3.1624e-05,1.2e-06,1
can_73,tuned,0.00192259,1.5884e-05,5.55e-07,1
cant,baseline,0.00291191,0.0558967,1.785e-06,1
cant,tuned,0.00234205,0.055178,1.635e-06,1
case39,baseline,0.00295636,0.0143913,1.14e-06,1
case39,tuned,0.00155563,0.0140397,5.2e-07,1
cavity09,baseline,0.0021073,0.000442775,5.35e-07,1
cavity09,tuned,0.00122494,0.000427865,4.3e-07,1
cavity18,baseline,0.00300884,0.00182203,5.85e-07,1
cavity18,tuned,0.00175559,0.0017792,4.25e-07,1
cavity26,baseline,0.00225719,0.00181805,8.05e-07,1
cavity26,tuned,0.00119223,0.00177423,4.6e-07,1
cbuckle,baseline,0.00396803,0.00904904,1.38e-06,1
cbuckle,tuned,0.00158265,0.00892878,5.55e-07,1
cca,baseline,0.00267785,0.00218003,6.15e-07,1
cca,tuned,0.00149538,0.0020482,3.6e-07,1
cdde5,baseline,0.00266366,7.9744e-05,8.2e-07,1
cdde5,tuned,0.00165036,7.1114e-05,6e-07,1
cegb3306,baseline,0.0026717,0.00097758,6.15e-07,1
cegb3306,tuned,0.00145565,0.00097069,5.4e-07,1
celegans_metabolic,baseline,0.00262646,7.8459e-05,7.6e-07,1
celegans_metabolic,tuned,0.00160975,6.7964e-05,5.85e-07,1
cell1,baseline,0.00251201,0.000504055,8.2e-07,1
cell1,tuned,0.00164028,0.00046425,5.25e-07,1
Chebyshev2,baseline,0.00248444,0.000277857,8.4e-07,1
Chebyshev2,tuned,0.0015514,0.000284337,5.9e-07,1
CO,baseline,0.00293627,0.104664,2.235e-06,1
CO,tuned,0.00205866,0.10359,1.95e-06,1
coater2,baseline,0.00284549,0.00273252,1.705e-06,1
coater2,tuned,0.00164628,0.00266334,9.9e-07,1
coAuthorsDBLP,baseline,0.00286569,0.05556,1.99e-06,1
coAuthorsDBLP,tuned,0.00161161,0.0541996,1.175e-06,1
com-Amazon,baseline,0.00294598,0.0968076,1.185e-06,1
com-Amazon,tuned,0.00185465,0.0950507,8.85e-07,1
cont-300,baseline,0.00298877,0.0136492,1.4e-06,1
cont-300,tuned,0.00179612,0.0130062,7.75e-07,1
crystm03,baseline,0.00299414,0.00755929,1.87e-06,1
crystm03,tuned,0.00178427,0.00739092,1.045e-06,1
cs4,baseline,0.00287937,0.0015872,1.035e-06,5
cs4,tuned,0.00167995,0.00149784,7.4e-07,5
ct2010,baseline,0.00278706,0.00523492,1.7e-06,1
ct2010,tuned,0.00176547,0.00496706,1.175e-06,1
ct20stif,baseline,0.00276551,0.0373589,1.47e-06,1
ct20stif,tuned,0.00178935,0.0365843,7.8e-07,1
CurlCurl_1,baseline,0.00284442,0.0327737,2.165e-06,1
CurlCurl_1,tuned,0.00196013,0.0321569,1.3e-06,1
cvxqp3,baseline,0.00243286,0.00387772,3.23e-06,1
cvxqp3,tuned,0.00229132,0.00179242,8.75e-07,1
cz308,baseline,0.0035213,6.8494e-05,1.255e-06,1
cz308,tuned,0.00165985,5.1939e-05,6.3e-07,1
darcy003,baseline,0.00286951,0.0426685,1.66e-06,1
darcy003,tuned,0.00156211,0.0410249,8.25e-07,1
debr,baseline,0.00263971,0.0667836,1.99e-06,5
debr,tuned,0.00187158,0.0636429,1.26e-06,5
delaunay_n10,baseline,0.00267295,0.000115939,1.215e-06,1
delaunay_n10,tuned,0.00173532,9.4399e-05,6.65e-07,1
delaunay_n14,baseline,0.00257496,0.00148156,6.5e-07,1
delaunay_n14,tuned,0.00157356,0.0014226,5.4e-07,1
delaunay_n18,baseline,0.00240083,0.0243505,1.245e-06,1
delaunay_n18,tuned,0.00153769,0.0229847,5.9e-07,1
delaunay_n22,baseline,0.00293385,0.40236,2.13e-06,1
delaunay_n22,tuned,0.00206115,0.401861,1.715e-06,1
delaunay_n23,baseline,0.00354385,0.889864,1.91e-06,1
delaunay_n23,tuned,0.00276785,0.87887,1.83e-06,1
delaunay_n24,baseline,0.00330707,1.76827,2.645e-06,1
delaunay_n24,tuned,0.00200792,2.03079,2.16e-06,1
denormal,baseline,0.00308524,0.0147752,1.6e-06,1
denormal,tuned,0.00171208,0.014242,9.25e-07,1
d_pretok,baseline,0.0031199,0.0225862,2.59e-06,1
d_pretok,tuned,0.00190314,0.0218096,1.275e-06,1
dw1024,baseline,0.00261452,0.000163468,1.29e-06,1
dw1024,tuned,0.00148911,0.000143399,5.3e-07,1
dwb512,baseline,0.00254841,6.5784e-05,1.3e-06,1
dwb512,tuned,0.00172642,4.6885e-05,6.5e-07,1
dwt_193,baseline,0.00249836,8.0374e-05,1.065e-06,1
dwt_193,tuned,0.00143406,5.5285e-05,8.4e-07,1
dwt_198,baseline,0.00261877,3.7645e-05,6.7e-07,1
dwt_198,tuned,0.00149444,2.822e-05,5.45e-07,1
dwt_310,baseline,0.00258698,5.9854e-05,9.15e-07,1
dwt_310,tuned,0.00156194,4.1694e-05,5.75e-07,1
dwt_503,baseline,0.00237854,0.000101549,6.85e-07,1
dwt_503,tuned,0.00155593,8.8019e-05,5.1e-07,1
dwt_869,baseline,0.0028267,0.000119523,9.45e-07,1
dwt_869,tuned,0.00156419,0.000102344,5.65e-07,1
dwt_878,baseline,0.00293889,0.000140288,1.21e-06,1
