matrix,Version,Initialization,FeatureExtraction,Inference,Format
bcsstm04,baseline,0.00246473,0.000274886,4.2e-07,2
bcsstm04,tuned,0.00190737,4.6494e-05,5e-07,2
bcsstm09,baseline,0.00262201,0.000140488,3.85e-07,2
bcsstm09,tuned,0.00196251,7.8144e-05,4.6e-07,2
bcsstm11,baseline,0.00210953,0.000154823,5.05e-07,2
bcsstm11,tuned,0.00181302,9.3423e-05,4.45e-07,2
bcsstm12,baseline,0.00266921,0.000276426,6.5e-07,1
bcsstm12,tuned,0.00212029,0.000212482,4.55e-07,1
bcsstm19,baseline,0.0023574,0.000133183,5.4e-07,2
bcsstm19,tuned,0.0017202,6.8074e-05,5.6e-07,2
bcsstm39,baseline,0.00247015,0.0012511,5.35e-07,2
bcsstm39,tuned,0.00208234,0.00124509,4.95e-07,2
BenElechi1,baseline,0.0031004,0.0825078,9.95e-07,1
BenElechi1,tuned,0.00227095,0.0755795,1.385e-06,1
bfwa398,baseline,0.00272049,0.000156703,9.65e-07,1
bfwa398,tuned,0.00209792,8.4924e-05,5.35e-07,1
bfwb398,baseline,0.00251745,0.000140104,6.65e-07,1
bfwb398,tuned,0.00174274,8.3589e-05,4.7e-07,1
biplane-9,baseline,0.00270679,0.00133717,1.06e-06,1
biplane-9,tuned,0.00196546,0.00139175,9.3e-07,1
bips07_2476,baseline,0.00275795,0.00119662,9.2e-07,1
bips07_2476,tuned,0.00196271,0.0010484,5.45e-07,1
bips98_1142,baseline,0.00387566,0.0108923,1.06e-06,1
bips98_1142,tuned,0.0145725,0.00124041,9.25e-07,1
blckhole,baseline,0.00251078,0.000379791,9.7e-07,1
blckhole,tuned,0.00190686,0.000292292,5e-07,1
bloweybq,baseline,0.00215911,0.0011294,1.145e-06,1
bloweybq,tuned,0.00189732,0.000938205,5.15e-07,1
bmw3_2,baseline,0.00306319,0.0671188,2.14e-06,1
bmw3_2,tuned,0.00216797,0.0666107,1.64e-06,1
bmw7st_1,baseline,0.00283995,0.044613,1.19e-06,1
bmw7st_1,tuned,0.00210469,0.0472704,1.36e-06,1
bone010,baseline,0.00324374,0.203951,2.075e-06,1
bone010,tuned,0.00224273,0.202923,1.825e-06,1
bp_800,baseline,0.00262674,0.000138578,8.75e-07,1
bp_800,tuned,0.00208543,6.2959e-05,4.85e-07,1
brainpc2,baseline,0.00301633,0.00115118,9.2e-07,0
brainpc2,tuned,0.00206765,0.00102358,8.75e-07,0
bratu3d,baseline,0.00275658,0.000378456,1.015e-06,1
bratu3d,tuned,0.00195931,0.000264567,5.95e-07,1
c-34,baseline,0.00288504,0.000402711,9.9e-07,1
c-34,tuned,0.00204754,0.000337666,5.4e-07,1
c-44,baseline,0.00280257,0.000515125,1.135e-06,1
c-44,tuned,0.00256553,0.000449475,9.6e-07,1
c-45,baseline,0.00286259,0.000793247,1.08e-06,1
c-45,tuned,0.00217283,0.000603743,7.95e-07,1
c-46,baseline,0.00357084,0.000708457,1.08e-06,1
c-46,tuned,0.00219469,0.000606758,1.095e-06,1
c-60,baseline,0.00289712,0.00185312,1.11e-06,1
c-60,tuned,0.00220435,0.00170364,1.155e-06,1
c-61,baseline,0.00291283,0.00169126,1.035e-06,1
c-61,tuned,0.00187099,0.001696,6e-07,1
c-66b,baseline,0.00294296,0.00214612,1.245e-06,0
c-66b,tuned,0.00213507,0.00203146,8.4e-07,0
c-70,baseline,0.00322869,0.00299622,1.53e-06,0
c-70,tuned,0.0023961,0.00280551,9.7e-07,0
c-73,baseline,0.00270392,0.00624034,6.95e-07,0
c-73,tuned,0.00215416,0.0060687,5.5e-07,0
c-73b,baseline,0.00299201,0.00539091,7.65e-07,0
c-73b,tuned,0.00208415,0.0052438,4.4e-07,0
ca2010,baseline,0.00302984,0.00751431,1.165e-06,1
ca2010,tuned,0.00196983,0.00703856,1.605e-06,1
cage11,baseline,0.00282542,0.0036534,9.65e-07,1
cage11,tuned,0.00182216,0.00344674,9.2e-07,1
cage7,baseline,0.00263225,0.000197348,9.25e-07,1
cage7,tuned,0.00196068,7.8864e-05,5.3e-07,1
ca-HepPh,baseline,0.00267189,0.000618673,9.8e-07,1
ca-HepPh,tuned,0.00204941,0.00053593,5.05e-07,1
ca-HepTh,baseline,0.0024385,0.000238173,6.15e-07,1
ca-HepTh,tuned,0.00201812,0.000170443,5.55e-07,1
can_1054,baseline,0.00274522,0.000228918,5.3e-07,1
