matrix,Version,Initialization,FeatureExtraction,Inference,Format
bcsstm03,baseline,0.00160396,2.0132e-05,3.38e-07,0
bcsstm03,tuned,0.00097288,1.0084e-05,2.71e-07,0
bcsstm09,baseline,0.00136681,2.9715e-05,3.4e-07,0
bcsstm09,tuned,0.000955095,3.534e-05,2.44e-07,0
bcsstm13,baseline,0.00149985,8.632e-05,3.46e-07,1
bcsstm13,tuned,0.000996645,8.2181e-05,3.55e-07,1
bcsstm23,baseline,0.00159664,6.5726e-05,3.15e-07,0
bcsstm23,tuned,0.00099805,6.6364e-05,2.23e-07,0
bcsstm25,baseline,0.00158628,0.000291581,2.8e-07,0
bcsstm25,tuned,0.000977621,0.000239118,2.36e-07,0
bcsstm26,baseline,0.00148186,4.0219e-05,2.58e-07,0
bcsstm26,tuned,0.00106329,2.3464e-05,2.18e-07,0
bcsstm34,baseline,0.00142069,0.000133072,4.17e-07,1
bcsstm34,tuned,0.00100013,8.3371e-05,3.82e-07,1
bcsstm37,baseline,0.00145716,0.000407088,3.35e-07,0
bcsstm37,tuned,0.000999524,0.000340993,2.55e-07,0
bcsstm38,baseline,0.00144685,0.00013066,3.45e-07,0
bcsstm38,tuned,0.00100203,8.9389e-05,2.7e-07,0
belgium_osm,baseline,0.00188647,0.0287662,6.26e-07,1
belgium_osm,tuned,0.00108159,0.0200145,3.13e-07,1
bfwa398,baseline,0.0017145,3.5359e-05,3.99e-07,1
bfwa398,tuned,0.00111786,2.3099e-05,4.4e-07,1
biplane-9,baseline,0.00197065,0.00046464,3.59e-07,1
biplane-9,tuned,0.00100534,0.000381953,3.27e-07,1
bips07_2476,baseline,0.00156616,0.000432079,3.93e-07,1
bips07_2476,tuned,0.00122858,0.000352913,3.1e-07,1
bips98_1450,baseline,0.00149303,0.000305193,4.26e-07,1
bips98_1450,tuned,0.00103018,0.00026069,3.6e-07,1
blockqp1,baseline,0.00138123,0.00244462,3.68e-07,1
blockqp1,tuned,0.00104063,0.00189376,2.31e-07,1
bmwcra_1,baseline,0.0017082,0.0308079,1.044e-06,1
bmwcra_1,tuned,0.00126095,0.0301296,6.01e-07,1
bodyy5,baseline,0.0014127,0.000575267,4.11e-07,1
bodyy5,tuned,0.00106284,0.000434999,2.26e-07,1
bodyy6,baseline,0.00155036,0.000542368,4.35e-07,1
bodyy6,tuned,0.000954313,0.000475266,2.89e-07,1
boeing_nasa2910,baseline,0.00126191,0.000456209,3.6e-07,1
boeing_nasa2910,tuned,0.000911854,0.000441838,2.4e-07,1
boneS01,baseline,0.00190628,0.0186842,7.04e-07,1
boneS01,tuned,0.00107628,0.0167839,4.31e-07,1
boyd2,baseline,0.00155028,0.00927223,4.45e-07,1
boyd2,tuned,0.00108439,0.00656002,4.08e-07,1
bp_1000,baseline,0.00131801,6.9685e-05,4.03e-07,5
bp_1000,tuned,0.00108133,2.7305e-05,3.57e-07,1
bp_1600,baseline,0.00297051,6.2149e-05,4.33e-07,5
bp_1600,tuned,0.00185428,3.0307e-05,3.35e-07,1
bp_200,baseline,0.00143414,3.8065e-05,3.99e-07,1
bp_200,tuned,0.000998004,2.5754e-05,3.44e-07,1
bwm200,baseline,0.00149099,2.2972e-05,3.58e-07,1
bwm200,tuned,0.000896825,2.9531e-05,3.04e-07,1
c-26,baseline,0.00145227,0.000146901,3.83e-07,1
c-26,tuned,0.000960938,0.000145254,2.93e-07,1
c-28,baseline,0.00130834,0.000149199,3.51e-07,1
c-28,tuned,0.00110834,0.00010947,2.75e-07,1
c-29,baseline,0.00145336,0.000200966,3.87e-07,1
c-29,tuned,0.000944212,0.00016439,3.84e-07,1
c-49,baseline,0.00147806,0.000750718,3.4e-07,1
c-49,tuned,0.00114834,0.000629601,3.45e-07,1
c-60,baseline,0.00141435,0.0012209,3.85e-07,1
c-60,tuned,0.00100038,0.00103902,2.9e-07,1
c-66,baseline,0.00143758,0.00185394,3.92e-07,1
c-66,tuned,0.000885857,0.00167706,2.77e-07,1
c-66b,baseline,0.00143981,0.00193468,3.27e-07,1
c-66b,tuned,0.000938347,0.00163356,2.44e-07,1
c-71,baseline,0.00156622,0.00323563,3.85e-07,1
c-71,tuned,0.000980596,0.00268476,3.57e-07,1
