matrix,Version,Initialization,FeatureExtraction,Inference,Format
bcsstk33,tuned,0.000985224,0.00478487,4e-07,1
bcsstk35,baseline,0.00243869,0.0155101,8.07e-07,1
bcsstk35,tuned,0.00102976,0.0153035,4.49e-07,1
bcsstm01,baseline,0.00231224,0.000162277,4.24e-07,1
bcsstm01,tuned,0.00097147,0.000147838,2.83e-07,2
bcsstm04,baseline,0.00212334,0.000169056,4.77e-07,2
bcsstm04,tuned,0.00098662,0.000166497,3.29e-07,2
bcsstm09,baseline,0.00242864,0.000185927,4.25e-07,2
bcsstm09,tuned,0.000957375,0.000181448,3.63e-07,2
bcsstm11,baseline,0.00235383,0.00019412,4.06e-07,2
bcsstm11,tuned,0.000997259,0.000177026,4.02e-07,2
bcsstm12,baseline,0.00216417,0.000392181,5.07e-07,1
bcsstm12,tuned,0.000994309,0.000404201,9.59e-07,1
b_dyn,baseline,0.0021236,0.000182446,4.99e-07,1
b_dyn,tuned,0.00101325,0.000172089,4.77e-07,1
bfwa782,baseline,0.00214803,0.000274313,5.04e-07,1
bfwa782,tuned,0.00101128,0.000283709,8.35e-07,1
bfwb62,baseline,0.00214335,0.000177784,5e-07,2
bfwb62,tuned,0.000965207,0.00017245,3.82e-07,2
big_dual,baseline,0.00207742,0.00297075,5.96e-07,1
big_dual,tuned,0.00098882,0.00288554,3.21e-07,1
bips07_1998,baseline,0.00204562,0.00128942,5.37e-07,1
bips07_1998,tuned,0.000990923,0.00121386,4.02e-07,1
blckhole,baseline,0.00207044,0.000491569,4.53e-07,1
blckhole,tuned,0.00106287,0.000466076,6.25e-07,1
bloweybq,baseline,0.00210859,0.00156989,4.96e-07,0
bloweybq,tuned,0.0010528,0.00156329,3.05e-07,0
boeing_nasa4704,baseline,0.00214192,0.00166065,6.47e-07,1
boeing_nasa4704,tuned,0.00109632,0.00151173,4.51e-07,1
bp_1400,baseline,0.00216166,0.000199257,5.28e-07,1
bp_1400,tuned,0.00102961,0.000208097,3.76e-07,1
bp_200,baseline,0.00204519,0.000181422,4.38e-07,1
bp_200,tuned,0.000997252,0.000193626,3.65e-07,1
bp_400,baseline,0.00213751,0.000209466,4.54e-07,1
bp_400,tuned,0.00102608,0.000214426,4.95e-07,1
bp_800,baseline,0.00210957,0.000207456,4.04e-07,1
bp_800,tuned,0.00104084,0.000203401,3.81e-07,1
brainpc2,baseline,0.00206027,0.00110587,5.2e-07,1
brainpc2,tuned,0.00100156,0.00110309,3.75e-07,0
c-19,baseline,0.00205183,0.000384837,4.71e-07,1
c-19,tuned,0.000973088,0.000397718,3.12e-07,1
c-20,baseline,0.00205084,0.000373084,4.89e-07,1
c-20,tuned,0.000957651,0.000367249,3.98e-07,1
c-21,baseline,0.00211283,0.000441933,5.1e-07,1
c-21,tuned,0.0010089,0.000461466,3.6e-07,1
c-22,baseline,0.0021021,0.000445669,5.18e-07,1
c-22,tuned,0.00100107,0.000482856,3.57e-07,1
c-29,baseline,0.00200438,0.000647207,5.73e-07,1
c-29,tuned,0.000968911,0.000526946,8.73e-07,1
c-31,baseline,0.00205387,0.000581688,4.82e-07,1
c-31,tuned,0.000948228,0.000630281,4.51e-07,1
c-44,baseline,0.0020185,0.00112613,6.26e-07,1
c-44,tuned,0.000983993,0.00112143,4.22e-07,1
c-56,baseline,0.00203301,0.00313015,5.48e-07,0
c-56,tuned,0.000980232,0.00305987,3.81e-07,0
c-57,baseline,0.00209735,0.0033364,5.26e-07,0
c-57,tuned,0.000976418,0.00334281,4.3e-07,0
c-64b,baseline,0.00225628,0.0044797,5.68e-07,0
c-64b,tuned,0.00099501,0.00446442,4.07e-07,0
c-67b,baseline,0.00206742,0.00472016,5.7e-07,0
c-67b,tuned,0.00103712,0.00473339,4.39e-07,0
ca-CondMat,baseline,0.00216321,0.000736999,5.63e-07,1
ca-CondMat,tuned,0.000958382,0.000737924,3.89e-07,1
cage,baseline,0.00219151,0.0001942,4.46e-07,1
cage,tuned,0.0010397,0.000200438,3.84e-07,1
cage5,baseline,0.00209295,0.000171956,5.32e-07,2
cage5,tuned,0.000964928,0.00016161,6.39e-07,2
cage7,baseline,0.0020923,0.00024736,4.47e-07,1
cage7,tuned,0.000977033,0.000232179,4.01e-07,1
cage8,baseline,0.00205265,0.000318105,4.57e-07,1
cage8,tuned,0.000975453,0.000326349,8.4e-07,1
can_229,baseline,0.00242452,0.000198812,4.76e-07,1
can_229,tuned,0.00100186,0.000192418,3.55e-07,1
can_61,baseline,0.00211159,0.000173206,5.63e-07,1
can_61,tuned,0.000967418,0.000181946,5.38e-07,1
can_96,baseline,0.00213206,0.000180019,5.53e-07,2
can_96,tuned,0.000980734,0.000171592,3.28e-07,2
cavity02,baseline,0.00212656,0.000282083,5.59e-07,1
cavity02,tuned,0.00105649,0.000285196,4.29e-07,1
cavity10,baseline,0.00207617,0.00102543,5.5e-07,1
cavity10,tuned,0.000989562,0.0011262,4.57e-07,1
cavity11,baseline,0.0039635,0.0015618,1.182e-06,1
cavity11,tuned,0.00151903,0.00145131,5.52e-07,1
cavity17,baseline,0.00205535,0.00159061,5.65e-07,1
cavity17,tuned,0.0010404,0.00195324,3.88e-07,1
cavity22,baseline,0.00203479,0.00176822,5.14e-07,1
cavity22,tuned,0.000985959,0.00174038,3.67e-07,1
cavity26,baseline,0.00207929,0.00141949,7.77e-07,1
cavity26,tuned,0.00100876,0.00183753,3.4e-07,1
c-big,baseline,0.00254696,0.0269922,6.97e-07,0
c-big,tuned,0.00104158,0.0267689,4.74e-07,0
cca,baseline,0.00214187,0.00427431,7.16e-07,1
cca,tuned,0.00103859,0.00423823,4.66e-07,1
cdde5,baseline,0.00219263,0.000312692,4.23e-07,1
cdde5,tuned,0.000981373,0.00024585,3.52e-07,1
cegb2802,baseline,0.00207414,0.00196294,7.86e-07,1
cegb2802,tuned,0.00100372,0.0020085,6.65e-07,1
cegb2919,baseline,0.00207891,0.00296976,5.95e-07,1
cegb2919,tuned,0.000982088,0.00245692,4.17e-07,1
cell2,baseline,0.00207578,0.00086116,7.53e-07,1
cell2,tuned,0.000988393,0.00079885,4.49e-07,1
ch7-8-b5,baseline,0.00215812,0.0011892,5.54e-07,1
