matrix,Format,Timings,OptimumFormat
adder_dcop_07,4,0.000327732,1
adder_dcop_07,5,9.06024e-05,1
adder_dcop_08,0,9.75897e-05,1
adder_dcop_08,1,7.88176e-05,1
adder_dcop_08,2,0.0225701,1
adder_dcop_08,3,0.00385691,1
adder_dcop_08,4,0.000329869,1
adder_dcop_08,5,9.06918e-05,1
adder_dcop_09,0,9.78879e-05,1
adder_dcop_09,1,7.91088e-05,1
adder_dcop_09,2,0.0225611,1
adder_dcop_09,3,0.00386714,1
adder_dcop_09,4,0.000331424,1
adder_dcop_09,5,9.09325e-05,1
adder_dcop_10,0,9.77736e-05,1
adder_dcop_10,1,7.90118e-05,1
adder_dcop_10,2,0.0225887,1
adder_dcop_10,3,0.00390003,1
adder_dcop_10,4,0.000328312,1
adder_dcop_10,5,9.07409e-05,1
adder_dcop_11,0,9.80957e-05,1
adder_dcop_11,1,7.89974e-05,1
adder_dcop_11,2,0.0225705,1
adder_dcop_11,3,0.00387616,1
adder_dcop_11,4,0.000330649,1
adder_dcop_11,5,9.05985e-05,1
adder_dcop_12,0,9.83632e-05,1
adder_dcop_12,1,7.91577e-05,1
adder_dcop_12,2,0.0225452,1
adder_dcop_12,3,0.00387501,1
adder_dcop_12,4,0.000329268,1
adder_dcop_12,5,9.10858e-05,1
adder_dcop_13,0,9.79359e-05,1
adder_dcop_13,1,7.91115e-05,1
adder_dcop_13,2,0.0225484,1
adder_dcop_13,3,0.00388649,1
adder_dcop_13,4,0.000327312,1
adder_dcop_13,5,9.06603e-05,1
adder_dcop_14,0,9.83688e-05,1
adder_dcop_14,1,7.91279e-05,1
adder_dcop_14,2,0.0225894,1
adder_dcop_14,3,0.0038889,1
adder_dcop_14,4,0.000330908,1
adder_dcop_14,5,9.08899e-05,1
adder_dcop_15,0,9.84583e-05,1
adder_dcop_15,1,7.90638e-05,1
adder_dcop_15,2,0.0225799,1
adder_dcop_15,3,0.00389538,1
adder_dcop_15,4,0.000330548,1
adder_dcop_15,5,9.07794e-05,1
adder_dcop_16,0,9.7989e-05,1
adder_dcop_16,1,7.88774e-05,1
adder_dcop_16,2,0.0225721,1
adder_dcop_16,3,0.00388338,1
adder_dcop_16,4,0.000327149,1
adder_dcop_16,5,9.06725e-05,1
adder_dcop_17,0,9.84696e-05,1
adder_dcop_17,1,7.89951e-05,1
adder_dcop_17,2,0.0225837,1
adder_dcop_17,3,0.0039046,1
adder_dcop_17,4,0.00032872,1
adder_dcop_17,5,9.07737e-05,1
adder_dcop_18,0,9.82713e-05,1
adder_dcop_18,1,7.89305e-05,1
adder_dcop_18,2,0.0225454,1
adder_dcop_18,3,0.0038439,1
adder_dcop_18,4,0.000327204,1
adder_dcop_18,5,9.05621e-05,1
adder_dcop_19,0,9.80944e-05,1
adder_dcop_19,1,7.89329e-05,1
adder_dcop_19,2,0.0225671,1
adder_dcop_19,3,0.00388995,1
adder_dcop_19,4,0.000326984,1
adder_dcop_19,5,9.06946e-05,1
adder_dcop_20,0,9.80223e-05,1
adder_dcop_20,1,7.90063e-05,1
adder_dcop_20,2,0.0225553,1
adder_dcop_20,3,0.00387853,1
adder_dcop_20,4,0.000327232,1
adder_dcop_20,5,9.07301e-05,1
adder_dcop_21,0,9.79929e-05,1
adder_dcop_21,1,7.91412e-05,1
adder_dcop_21,2,0.0225526,1
adder_dcop_21,3,0.00384401,1
adder_dcop_21,4,0.000327076,1
adder_dcop_21,5,9.07272e-05,1
adder_dcop_22,0,9.81507e-05,1
adder_dcop_22,1,7.90298e-05,1
adder_dcop_22,2,0.0225424,1
adder_dcop_22,3,0.00391073,1
adder_dcop_22,4,0.000327339,1
adder_dcop_22,5,9.06823e-05,1
adder_dcop_23,0,9.83727e-05,1
adder_dcop_23,1,7.90201e-05,1
adder_dcop_23,2,0.0225833,1
adder_dcop_23,3,0.00390182,1
adder_dcop_23,4,0.000329175,1
adder_dcop_23,5,9.0842e-05,1
adder_dcop_24,0,9.80726e-05,1
adder_dcop_24,1,7.89243e-05,1
adder_dcop_24,2,0.0225678,1
adder_dcop_24,3,0.00386413,1
adder_dcop_24,4,0.000327393,1
adder_dcop_24,5,9.06624e-05,1
adder_dcop_25,0,9.83441e-05,1
adder_dcop_25,1,7.87339e-05,1
adder_dcop_25,2,0.0225534,1
adder_dcop_25,3,0.00391473,1
