matrix,Format,Timings,OptimumFormat
adder_dcop_04,4,0.00138943,1
adder_dcop_04,5,0.00135804,1
adder_dcop_05,0,0.0007336,1
adder_dcop_05,1,0.000691409,1
adder_dcop_05,2,0.000977476,1
adder_dcop_05,3,0.000809885,1
adder_dcop_05,4,0.00139167,1
adder_dcop_05,5,0.00135964,1
adder_dcop_06,0,0.000732781,1
adder_dcop_06,1,0.000690878,1
adder_dcop_06,2,0.000977895,1
adder_dcop_06,3,0.000808907,1
adder_dcop_06,4,0.00138936,1
adder_dcop_06,5,0.0013583,1
adder_dcop_07,0,0.000734112,1
adder_dcop_07,1,0.000691246,1
adder_dcop_07,2,0.000979321,1
adder_dcop_07,3,0.000810076,1
adder_dcop_07,4,0.00139165,1
adder_dcop_07,5,0.00136001,1
adder_dcop_08,0,0.000732476,1
adder_dcop_08,1,0.000692218,1
adder_dcop_08,2,0.00097801,1
adder_dcop_08,3,0.000809578,1
adder_dcop_08,4,0.00139097,1
adder_dcop_08,5,0.00135873,1
adder_dcop_09,0,0.00073159,1
adder_dcop_09,1,0.000690062,1
adder_dcop_09,2,0.000978908,1
adder_dcop_09,3,0.000809372,1
adder_dcop_09,4,0.00138904,1
adder_dcop_09,5,0.0013589,1
adder_dcop_10,0,0.000727901,1
adder_dcop_10,1,0.000691785,1
adder_dcop_10,2,0.000980065,1
adder_dcop_10,3,0.000809511,1
adder_dcop_10,4,0.00139015,1
adder_dcop_10,5,0.00136815,1
adder_dcop_11,0,0.000731554,1
adder_dcop_11,1,0.000692877,1
adder_dcop_11,2,0.000978068,1
adder_dcop_11,3,0.000809408,1
adder_dcop_11,4,0.00139063,1
adder_dcop_11,5,0.0013606,1
adder_dcop_12,0,0.000737268,1
adder_dcop_12,1,0.000696437,1
adder_dcop_12,2,0.000981438,1
adder_dcop_12,3,0.000813231,1
adder_dcop_12,4,0.00139932,1
adder_dcop_12,5,0.00136731,1
adder_dcop_13,0,0.000731757,1
adder_dcop_13,1,0.000692876,1
adder_dcop_13,2,0.00097891,1
adder_dcop_13,3,0.000811314,1
adder_dcop_13,4,0.00139407,1
adder_dcop_13,5,0.00136871,1
adder_dcop_14,0,0.00073161,1
adder_dcop_14,1,0.000689868,1
adder_dcop_14,2,0.000976347,1
adder_dcop_14,3,0.00080678,1
adder_dcop_14,4,0.00139,1
adder_dcop_14,5,0.00135631,1
adder_dcop_15,0,0.000733003,1
adder_dcop_15,1,0.000692706,1
adder_dcop_15,2,0.00097891,1
adder_dcop_15,3,0.000809737,1
adder_dcop_15,4,0.00139055,1
adder_dcop_15,5,0.00136044,1
adder_dcop_16,0,0.000732728,1
adder_dcop_16,1,0.000692315,1
adder_dcop_16,2,0.00097856,1
adder_dcop_16,3,0.000808418,1
adder_dcop_16,4,0.00139354,1
adder_dcop_16,5,0.00135927,1
adder_dcop_17,0,0.000731263,1
adder_dcop_17,1,0.000692261,1
adder_dcop_17,2,0.000977338,1
adder_dcop_17,3,0.000809535,1
adder_dcop_17,4,0.00139047,1
adder_dcop_17,5,0.0013605,1
adder_dcop_18,0,0.000732139,1
adder_dcop_18,1,0.00069081,1
adder_dcop_18,2,0.000977789,1
adder_dcop_18,3,0.000809718,1
adder_dcop_18,4,0.00139169,1
adder_dcop_18,5,0.00135888,1
adder_dcop_19,0,0.000732155,1
adder_dcop_19,1,0.000693535,1
adder_dcop_19,2,0.000979088,1
adder_dcop_19,3,0.000810706,1
adder_dcop_19,4,0.00139276,1
adder_dcop_19,5,0.00136251,1
adder_dcop_20,0,0.000733072,1
adder_dcop_20,1,0.000691201,1
adder_dcop_20,2,0.000978309,1
adder_dcop_20,3,0.000809633,1
adder_dcop_20,4,0.00139251,1
adder_dcop_20,5,0.00135901,1
adder_dcop_21,0,0.000791199,0
adder_dcop_21,1,0.000833318,0
adder_dcop_21,2,0.00113704,0
adder_dcop_21,3,0.000809056,0
adder_dcop_21,4,0.00139002,0
adder_dcop_21,5,0.00135742,0
adder_dcop_22,0,0.000733695,1
adder_dcop_22,1,0.000693081,1
adder_dcop_22,2,0.000979794,1
adder_dcop_22,3,0.000810418,1
adder_dcop_22,4,0.00139272,1
adder_dcop_22,5,0.00136058,1
adder_dcop_23,0,0.000733749,1
adder_dcop_23,1,0.000691501,1
adder_dcop_23,2,0.000978986,1
adder_dcop_23,3,0.000810563,1
adder_dcop_23,4,0.00139252,1
adder_dcop_23,5,0.00136193,1
adder_dcop_24,0,0.000732607,1
adder_dcop_24,1,0.000691841,1
adder_dcop_24,2,0.00097832,1
adder_dcop_24,3,0.000810039,1
adder_dcop_24,4,0.00139095,1
adder_dcop_24,5,0.00135891,1
adder_dcop_25,0,0.000731913,1
adder_dcop_25,1,0.000692944,1
adder_dcop_25,2,0.000980035,1
adder_dcop_25,3,0.000809888,1
adder_dcop_25,4,0.00139216,1
adder_dcop_25,5,0.00136969,1
adder_dcop_26,0,0.000734015,1
adder_dcop_26,1,0.00069274,1
adder_dcop_26,2,0.000977266,1
adder_dcop_26,3,0.000809229,1
adder_dcop_26,4,0.00139162,1
adder_dcop_26,5,0.00136033,1
adder_dcop_27,0,0.000730966,1
adder_dcop_27,1,0.000688489,1
adder_dcop_27,2,0.000977951,1
adder_dcop_27,3,0.000807402,1
adder_dcop_27,4,0.00138795,1
adder_dcop_27,5,0.00135531,1
adder_dcop_28,0,0.00073357,1
adder_dcop_28,1,0.000689409,1
adder_dcop_28,2,0.000976749,1
adder_dcop_28,3,0.000807878,1
adder_dcop_28,4,0.00139102,1
adder_dcop_28,5,0.00135654,1
adder_dcop_29,0,0.000725021,1
adder_dcop_29,1,0.000684358,1
adder_dcop_29,2,0.000970313,1
adder_dcop_29,3,0.000801356,1
adder_dcop_29,4,0.00137469,1
adder_dcop_29,5,0.00134351,1
adder_dcop_30,0,0.000731599,1
adder_dcop_30,1,0.000689992,1
adder_dcop_30,2,0.000977129,1
adder_dcop_30,3,0.000808698,1
adder_dcop_30,4,0.00138921,1
adder_dcop_30,5,0.00135798,1
adder_dcop_31,0,0.000731406,1
adder_dcop_31,1,0.000690868,1
adder_dcop_31,2,0.000977874,1
adder_dcop_31,3,0.000806432,1
adder_dcop_31,4,0.00139263,1
adder_dcop_31,5,0.00135703,1
adder_dcop_32,0,0.000730216,1
adder_dcop_32,1,0.000690944,1
adder_dcop_32,2,0.000977714,1
adder_dcop_32,3,0.000807598,1
adder_dcop_32,4,0.00139024,1
adder_dcop_32,5,0.00135733,1
adder_dcop_33,0,0.000732571,1
adder_dcop_33,1,0.000691573,1
adder_dcop_33,2,0.000977998,1
adder_dcop_33,3,0.000806527,1
adder_dcop_33,4,0.00139327,1
adder_dcop_33,5,0.00135727,1
adder_dcop_34,0,0.000730182,1
adder_dcop_34,1,0.000690078,1
adder_dcop_34,2,0.000977529,1
adder_dcop_34,3,0.000808122,1
adder_dcop_34,4,0.00138932,1
adder_dcop_34,5,0.00135833,1
adder_dcop_35,0,0.000732224,1
adder_dcop_35,1,0.000690014,1
adder_dcop_35,2,0.000978769,1
adder_dcop_35,3,0.000808512,1
adder_dcop_35,4,0.00139559,1
adder_dcop_35,5,0.00135753,1
adder_dcop_36,0,0.000732318,1
adder_dcop_36,1,0.000691153,1
adder_dcop_36,2,0.00097673,1
adder_dcop_36,3,0.000808144,1
adder_dcop_36,4,0.00139178,1
adder_dcop_36,5,0.00135707,1
adder_dcop_37,0,0.000735139,1
adder_dcop_37,1,0.00068913,1
adder_dcop_37,2,0.000977183,1
adder_dcop_37,3,0.000807635,1
adder_dcop_37,4,0.00139336,1
adder_dcop_37,5,0.0013552,1
adder_dcop_38,0,0.000731541,1
adder_dcop_38,1,0.000690794,1
adder_dcop_38,2,0.000977076,1
adder_dcop_38,3,0.000808364,1
adder_dcop_38,4,0.001392,1
adder_dcop_38,5,0.00135696,1
adder_dcop_39,0,0.000790095,0
adder_dcop_39,1,0.000837661,0
adder_dcop_39,2,0.00115049,0
adder_dcop_39,3,0.000808567,0
adder_dcop_39,4,0.00140538,0
adder_dcop_39,5,0.00136881,0
adder_dcop_40,0,0.000731652,1
