matrix,Version,Initialization,FeatureExtraction,Inference,Format
bcsstk33,baseline,0.00548362,0.012824,1.06e-06,1
bcsstk33,tuned,0.00373817,0.0128011,1.13e-06,1
bcsstk36,baseline,0.00545686,0.0240452,1.57e-06,1
bcsstk36,tuned,0.00372567,0.0239102,2.09e-06,1
bcsstm01,baseline,0.0052723,3.073e-05,9.5e-07,0
bcsstm01,tuned,0.0034858,2.697e-05,7.8e-07,0
bcsstm12,baseline,0.00516515,0.000399591,1.35e-06,1
bcsstm12,tuned,0.00349574,0.000396001,9.6e-07,1
bcsstm25,baseline,0.00519764,0.000516971,1.05e-06,0
bcsstm25,tuned,0.00345116,0.000468621,7.7e-07,0
bcsstm27,baseline,0.00518028,0.00121686,1.06e-06,1
bcsstm27,tuned,0.00352046,0.00119026,8.2e-07,1
bcsstm34,baseline,0.00564903,0.00052145,1.05e-06,1
bcsstm34,tuned,0.00345321,0.00054029,8.9e-07,1
bcsstm37,baseline,0.00545697,0.000698301,1.08e-06,0
bcsstm37,tuned,0.00342385,0.000657441,8.2e-07,0
b_dyn,baseline,0.00572851,0.000133511,9.7e-07,0
b_dyn,tuned,0.00410665,0.00013169,7.3e-07,0
BenElechi1,baseline,0.00617944,0.277987,1.76e-06,1
BenElechi1,tuned,0.00384593,0.274219,2.05e-06,1
bfwa398,baseline,0.00541445,0.00010304,1.42e-06,1
bfwa398,tuned,0.00362006,0.00010057,1.08e-06,1
bfwb62,baseline,0.00522255,3.678e-05,1.06e-06,0
bfwb62,tuned,0.00345623,3.3931e-05,8.9e-07,0
bfwb782,baseline,0.00526131,0.00014817,1.5e-06,1
bfwb782,tuned,0.00366421,0.0001443,1.04e-06,1
big_dual,baseline,0.00550259,0.00190517,1.05e-06,0
big_dual,tuned,0.00373094,0.00186863,7.8e-07,0
bmwcra_1,baseline,0.00561242,0.232945,1.72e-06,1
bmwcra_1,tuned,0.00368943,0.231165,2.18e-06,1
bodyy5,baseline,0.00765982,0.00243035,1.06e-06,1
bodyy5,tuned,0.00451849,0.00236833,9.2e-07,1
boeing_nasa1824,baseline,0.00602006,0.000797205,1.04e-06,1
boeing_nasa1824,tuned,0.00388094,0.000776394,9.1e-07,1
boneS01,baseline,0.00623718,0.14513,2.55e-06,1
boneS01,tuned,0.00383909,0.143973,2.19e-06,1
boyd1,baseline,0.00553634,0.0275491,2.39e-06,1
